구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),위치업데이트,,,
kor,1100000000,서울특별시,,,60,127,126,58,48.03,37,33,48.85,126.980008333333,37.5635694444444,,,,
kor,1111000000,서울특별시,종로구,,60,127,126,58,53.91,37,34,13.36,126.981641666666,37.5703777777777,,,,
kor,1111051500,서울특별시,종로구,청운효자동,60,127,126,58,14.35,37,35,2.89,126.9706519,37.5841367,,,,
kor,1111053000,서울특별시,종로구,사직동,60,127,126,58,15.44,37,34,23.77,126.970955555555,37.5732694444444,,,,
kor,1111054000,서울특별시,종로구,삼청동,60,127,126,59,2.32,37,34,56.73,126.983977777777,37.582425,,,,
kor,1111055000,서울특별시,종로구,부암동,60,127,126,57,59.2,37,35,23.48,126.966444444444,37.5898555555555,,,,
kor,1111056000,서울특별시,종로구,평창동,60,127,126,58,7.96,37,36,9.08,126.968877777777,37.6025222222222,,,,
kor,1111057000,서울특별시,종로구,무악동,60,127,126,57,40.35,37,34,17.54,126.961208333333,37.5715388888888,,,,
kor,1111058000,서울특별시,종로구,교남동,60,127,126,57,50.76,37,34,8.67,126.9641,37.569075,,,,
kor,1111060000,서울특별시,종로구,가회동,60,127,126,59,12.88,37,34,38.11,126.986911111111,37.5772527777777,,,,
kor,1111061500,서울특별시,종로구,종로1.2.3.4가동,60,127,126,59,27.84,37,34,4.39,126.991066666666,37.5678861111111,,,,
kor,1111063000,서울특별시,종로구,종로5.6가동,60,127,127,0,25.76,37,34,9.16,127.007155555555,37.5692111111111,,,,
kor,1111064000,서울특별시,종로구,이화동,60,127,127,0,23.03,37,34,27.17,127.006397222222,37.5742138888888,,,,
kor,1111065000,서울특별시,종로구,혜화동,60,127,127,0,9.44,37,35,2.36,127.002622222222,37.5839888888888,,,,
kor,1111067000,서울특별시,종로구,창신제1동,61,127,127,1,6.47,37,34,4.57,127.018463888888,37.5679361111111,,,,
kor,1111068000,서울특별시,종로구,창신제2동,60,127,127,0,46.67,37,34,17.92,127.012963888888,37.5716444444444,,,,
kor,1111069000,서울특별시,종로구,창신제3동,60,127,127,1,1.79,37,34,30.17,127.017163888888,37.5750472222222,,,,
kor,1111070000,서울특별시,종로구,숭인제1동,60,127,127,1,3.59,37,34,30.1,127.017663888888,37.5750277777777,,,,
kor,1111071000,서울특별시,종로구,숭인제2동,61,127,127,1,19.4,37,34,19.33,127.022055555555,37.5720361111111,,,,
kor,1114000000,서울특별시,중구,,60,127,126,59,58.71,37,33,39.61,126.999641666666,37.5610027777777,,,,
kor,1114052000,서울특별시,중구,소공동,60,127,126,58,44.79,37,33,34.67,126.979108333333,37.5596305555555,,,,
kor,1114054000,서울특별시,중구,회현동,60,126,126,58,53.2,37,33,16.14,126.981444444444,37.5544833333333,,,,
kor,1114055000,서울특별시,중구,명동,60,127,126,59,16.4,37,33,26.05,126.987888888888,37.5572361111111,,,,
kor,1114057000,서울특별시,중구,필동,60,127,126,59,51.76,37,33,26.47,126.997711111111,37.5573527777777,,,,
kor,1114058000,서울특별시,중구,장충동,60,127,127,0,35.76,37,33,32.82,127.009933333333,37.5591166666666,,,,
kor,1114059000,서울특별시,중구,광희동,60,127,127,0,25.79,37,33,42.23,127.007163888888,37.5617305555555,,,,
kor,1114060500,서울특별시,중구,을지로동,60,127,126,59,36.35,37,33,50.04,126.993430555555,37.5639,,,,
kor,1114061500,서울특별시,중구,신당동,60,127,127,0,59.88,37,33,33.52,127.016633333333,37.5593111111111,20140319,,,
kor,1114062500,서울특별시,중구,다산동,60,126,127,0,37.11,37,33,5.82,127.010308333333,37.5516166666666,20140319,,,
kor,1114063500,서울특별시,중구,약수동,60,126,127,0,39.91,37,32,58.77,127.011086111111,37.5496583333333,20140319,,,
kor,1114064500,서울특별시,중구,청구동,60,126,127,1,0.44,37,33,15.33,127.016788888888,37.5542583333333,20140319,,,
kor,1114065000,서울특별시,중구,신당제5동,61,127,127,1,26.28,37,33,44.39,127.023966666666,37.5623305555555,,,,
kor,1114066500,서울특별시,중구,동화동,61,127,127,1,17.55,37,33,26.02,127.021541666666,37.5572277777777,20140319,,,
kor,1114067000,서울특별시,중구,황학동,61,127,127,1,24.59,37,33,52.79,127.023497222222,37.5646638888888,,,,
kor,1114068000,서울특별시,중구,중림동,60,126,126,57,59.76,37,33,7.32,126.9666,37.5520333333333,,,,
kor,1117000000,서울특별시,용산구,,60,126,126,58,3.08,37,32,9.94,126.967522222222,37.5360944444444,,,,
kor,1117051000,서울특별시,용산구,후암동,60,126,126,58,48.96,37,32,45.17,126.980266666666,37.5458805555555,,,,
kor,1117052000,서울특별시,용산구,용산2가동,60,126,126,59,15.23,37,32,35.23,126.987563888888,37.5431194444444,,,,
kor,1117053000,서울특별시,용산구,남영동,60,126,126,58,37.08,37,32,34.2,126.976966666666,37.5428333333333,,,,
kor,1117055500,서울특별시,용산구,청파동,60,126,126,58,19.35,37,32,33.2,126.972041666666,37.5425555555555,,,,
kor,1117056000,서울특별시,용산구,원효로제1동,60,126,126,58,6.03,37,32,9.13,126.968341666666,37.5358694444444,,,,
kor,1117057000,서울특별시,용산구,원효로제2동,59,126,126,57,12.88,37,31,53.73,126.953577777777,37.5315916666666,,,,
kor,1117058000,서울특별시,용산구,효창동,60,126,126,57,48.23,37,32,20.23,126.963397222222,37.5389527777777,,,,
kor,1117059000,서울특별시,용산구,용문동,60,126,126,57,34.79,37,32,10.5,126.959663888888,37.5362499999999,,,,
kor,1117062500,서울특별시,용산구,한강로동,60,126,126,58,17.52,37,31,34.47,126.971533333333,37.5262416666666,,,,
kor,1117063000,서울특별시,용산구,이촌제1동,60,126,126,58,31.28,37,31,6.25,126.975355555555,37.5184027777777,,,,
kor,1117064000,서울특별시,용산구,이촌제2동,59,126,126,57,22.79,37,31,26.51,126.956330555555,37.5240305555555,,,,
kor,1117065000,서울특별시,용산구,이태원제1동,60,126,126,59,49.35,37,31,46.17,126.997041666666,37.5294916666666,,,,
kor,1117066000,서울특별시,용산구,이태원제2동,60,126,126,59,30.64,37,32,16.7,126.991844444444,37.5379722222222,,,,
kor,1117068500,서울특별시,용산구,한남동,60,126,127,0,9.52,37,31,54.79,127.002644444444,37.5318861111111,,,,
kor,1117069000,서울특별시,용산구,서빙고동,60,126,126,59,48.4,37,31,3.38,126.996777777777,37.5176055555555,,,,
kor,1117070000,서울특별시,용산구,보광동,60,126,127,0,8.4,37,31,24.47,127.002333333333,37.5234638888888,,,,
kor,1120000000,서울특별시,성동구,,61,127,127,2,20.4,37,33,38.2,127.039,37.5606111111111,,,,
kor,1120052000,서울특별시,성동구,왕십리제2동,61,127,127,1,57.76,37,33,30.01,127.032711111111,37.5583361111111,,,,
kor,1120053500,서울특별시,성동구,왕십리도선동,61,127,127,1,32.01,37,34,3.92,127.0255591,37.5677544,,,,
kor,1120054000,서울특별시,성동구,마장동,61,127,127,2,51.23,37,33,48.36,127.047563888888,37.5634333333333,,,,
kor,1120055000,서울특별시,성동구,사근동,61,127,127,2,52.64,37,33,30.26,127.047955555555,37.5584055555555,,,,
kor,1120056000,서울특별시,성동구,행당제1동,61,126,127,2,17.08,37,33,19.27,127.038077777777,37.5553527777777,,,,
kor,1120057000,서울특별시,성동구,행당제2동,61,126,127,1,53.52,37,33,20.07,127.031533333333,37.555575,,,,
kor,1120058000,서울특별시,성동구,응봉동,61,126,127,2,7.79,37,33,1.25,127.035497222222,37.5503472222222,,,,
kor,1120059000,서울특별시,성동구,금호1가동,61,126,127,1,26.2,37,33,7.45,127.023944444444,37.5520694444444,,,,
kor,1120061500,서울특별시,성동구,금호2.3가동,61,126,127,1,15.09,37,33,11.48,127.020859,37.553188,20150908,,,
kor,1120062000,서울특별시,성동구,금호4가동,61,126,127,1,28.11,37,32,40.1,127.024475,37.5444722222222,,,,
kor,1120064500,서울특별시,성동구,옥수동,60,126,127,0,48.47,37,32,37.38,127.013463,37.543717,20150908,,,
kor,1120065000,서울특별시,성동구,성수1가제1동,61,126,127,3,7.15,37,32,20.25,127.051986111111,37.5389583333333,,,,
kor,1120066000,서울특별시,성동구,성수1가제2동,61,126,127,2,46.91,37,32,36.7,127.046363888888,37.5435277777777,,,,
kor,1120067000,서울특별시,성동구,성수2가제1동,61,126,127,3,22.32,37,32,12.13,127.0562,37.5367027777777,,,,
kor,1120069000,서울특별시,성동구,성수2가제3동,61,126,127,3,26.4,37,32,43.55,127.057333333333,37.5454305555555,,,,
kor,1120072000,서울특별시,성동구,송정동,61,126,127,4,18.15,37,33,6.22,127.071708333333,37.5517277777777,,,,
kor,1120079000,서울특별시,성동구,용답동,61,127,127,3,26.76,37,33,40.92,127.057433333333,37.5613666666666,,,,
kor,1121500000,서울특별시,광진구,,62,126,127,5,4.32,37,32,8.66,127.084533333333,37.5357388888888,,,,
kor,1121571000,서울특별시,광진구,화양동,61,126,127,4,24.47,37,32,37.63,127.073463888888,37.5437861111111,,,,
kor,1121573000,서울특별시,광진구,군자동,62,126,127,4,40.79,37,33,8.47,127.077997222222,37.5523527777777,,,,
kor,1121574000,서울특별시,광진구,중곡제1동,62,127,127,4,55.79,37,33,28.23,127.082163888888,37.5578416666666,,,,
kor,1121575000,서울특별시,광진구,중곡제2동,62,127,127,5,0.76,37,33,26.91,127.083544444444,37.557475,,,,
kor,1121576000,서울특별시,광진구,중곡제3동,62,127,127,4,56.11,37,33,57.3,127.082252777777,37.5659166666666,,,,
kor,1121577000,서울특별시,광진구,중곡제4동,62,127,127,5,21.67,37,33,45.04,127.089352777777,37.5625111111111,,,,
kor,1121578000,서울특별시,광진구,능동,62,126,127,4,57.52,37,33,3.7,127.082644444444,37.5510277777777,,,,
